date,price
22.05.2019,71
23.05.2019,68
24.05.2019,67
28.05.2019,70
29.05.2019,70
30.05.2019,69
31.05.2019,66
03.06.2019,63
04.06.2019,63
05.06.2019,62
06.06.2019,62
07.06.2019,64
10.06.2019,64
11.06.2019,63
12.06.2019,61
13.06.2019,63
14.06.2019,63
17.06.2019,62
18.06.2019,63
19.06.2019,62
20.06.2019,65
21.06.2019,65
24.06.2019,65
25.06.2019,66
26.06.2019,66
27.06.2019,66
28.06.2019,67
01.07.2019,65
02.07.2019,62
03.07.2019,63
04.07.2019,63
05.07.2019,64
08.07.2019,64
09.07.2019,64
10.07.2019,66
11.07.2019,67
12.07.2019,66
15.07.2019,66
16.07.2019,65
17.07.2019,63
18.07.2019,60
19.07.2019,61
22.07.2019,61
23.07.2019,62
24.07.2019,63
25.07.2019,63
26.07.2019,62
29.07.2019,62
30.07.2019,62
31.07.2019,64
01.08.2019,62
02.08.2019,61
05.08.2019,59
06.08.2019,58
07.08.2019,55
08.08.2019,56
09.08.2019,57
12.08.2019,57
13.08.2019,59
14.08.2019,57
15.08.2019,57
16.08.2019,59
19.08.2019,59
20.08.2019,59
21.08.2019,60
22.08.2019,59
23.08.2019,58
26.08.2019,58
27.08.2019,58
28.08.2019,60
29.08.2019,60
30.08.2019,61
02.09.2019,58
03.09.2019,57
04.09.2019,60
05.09.2019,62
06.09.2019,61
09.09.2019,63
10.09.2019,64
11.09.2019,63
12.09.2019,60
13.09.2019,61
16.09.2019,68
17.09.2019,65
18.09.2019,64
19.09.2019,64
20.09.2019,65
23.09.2019,64
24.09.2019,64
25.09.2019,62
26.09.2019,62
27.09.2019,62
30.09.2019,60
01.10.2019,60
02.10.2019,57
03.10.2019,58
04.10.2019,59
07.10.2019,59
08.10.2019,58
09.10.2019,59
10.10.2019,59
11.10.2019,60
14.10.2019,58
15.10.2019,59
16.10.2019,59
17.10.2019,59
18.10.2019,59
21.10.2019,58
22.10.2019,60
23.10.2019,60
24.10.2019,61
25.10.2019,62
28.10.2019,60
29.10.2019,61
30.10.2019,60
31.10.2019,59
01.11.2019,60
04.11.2019,62
05.11.2019,62
06.11.2019,62
07.11.2019,62
08.11.2019,62
11.11.2019,62
12.11.2019,62
13.11.2019,62
14.11.2019,62
15.11.2019,63
18.11.2019,62
19.11.2019,62
20.11.2019,63
21.11.2019,64
22.11.2019,64
25.11.2019,64
26.11.2019,64
27.11.2019,65
28.11.2019,64
29.11.2019,64
02.12.2019,63
03.12.2019,62
04.12.2019,65
